Rk,Score,PtsW,PtsL
834,62-13,62,13
835,62-15,62,15
836,62-16,62,16
837,62-17,62,17
838,62-18,62,18
839,62-19,62,19
840,62-20,62,20
841,62-21,62,21
842,62-22,62,22
843,62-23,62,23
844,62-24,62,24
845,62-25,62,25
846,62-26,62,26
847,62-27,62,27
848,62-29,62,29
849,62-30,62,30
850,62-31,62,31
851,62-32,62,32
852,62-33,62,33
853,62-34,62,34
854,62-35,62,35
855,62-36,62,36
856,62-37,62,37
857,62-38,62,38
858,62-39,62,39
859,62-40,62,40
860,62-41,62,41
861,62-42,62,42
862,62-43,62,43
863,62-44,62,44
864,62-45,62,45
865,62-46,62,46
866,62-47,62,47
867,62-48,62,48
868,62-49,62,49
869,62-50,62,50
870,62-51,62,51
871,62-52,62,52
872,62-53,62,53
873,62-54,62,54
874,62-55,62,55
875,62-56,62,56
876,62-57,62,57
877,62-58,62,58
878,62-59,62,59
879,62-60,62,60
880,62-61,62,61
881,62-62,62,62
882,63-0,63,0
883,63-2,63,2
884,63-3,63,3
885,63-4,63,4
886,63-5,63,5
887,63-6,63,6
888,63-8,63,8
889,63-9,63,9
890,63-10,63,10
891,63-11,63,11
892,63-12,63,12
893,63-13,63,13
894,63-14,63,14
895,63-15,63,15
896,63-16,63,16
897,63-17,63,17
898,63-18,63,18
899,63-19,63,19
900,63-20,63,20
901,63-22,63,22
902,63-23,63,23
903,63-24,63,24
904,63-25,63,25
905,63-26,63,26
906,63-27,63,27
907,63-28,63,28
908,63-29,63,29
909,63-30,63,30
910,63-31,63,31
911,63-32,63,32
912,63-33,63,33
913,63-34,63,34
914,63-36,63,36
915,63-37,63,37
916,63-38,63,38
917,63-39,63,39
918,63-41,63,41
919,63-42,63,42
920,63-43,63,43
921,63-44,63,44
922,63-45,63,45
923,63-46,63,46
924,63-47,63,47
925,63-48,63,48
926,63-49,63,49
927,63-50,63,50
928,63-51,63,51
929,63-52,63,52
930,63-53,63,53
931,63-54,63,54
932,63-55,63,55
933,63-56,63,56
934,63-57,63,57
935,63-58,63,58
936,63-59,63,59
937,63-60,63,60
938,63-61,63,61
939,63-62,63,62
940,63-63,63,63
941,64-2,64,2
942,64-3,64,3
943,64-4,64,4
944,64-5,64,5
945,64-6,64,6
946,64-7,64,7
947,64-8,64,8
948,64-9,64,9
949,64-10,64,10
950,64-11,64,11
951,64-12,64,12
952,64-13,64,13
953,64-14,64,14
954,64-15,64,15
955,64-16,64,16
956,64-17,64,17
957,64-18,64,18
958,64-19,64,19
959,64-20,64,20
960,64-21,64,21
961,64-22,64,22
962,64-23,64,23
963,64-24,64,24
964,64-25,64,25
965,64-26,64,26
966,64-27,64,27
967,64-28,64,28
968,64-29,64,29
969,64-30,64,30
970,64-31,64,31
971,64-32,64,32
972,64-33,64,33
973,64-34,64,34
974,64-35,64,35
975,64-36,64,36
976,64-37,64,37
977,64-38,64,38
978,64-39,64,39
979,64-40,64,40
980,64-41,64,41
981,64-42,64,42
982,64-43,64,43
983,64-44,64,44
984,64-45,64,45
985,64-46,64,46
986,64-47,64,47
987,64-48,64,48
988,64-49,64,49
989,64-50,64,50
990,64-51,64,51
991,64-52,64,52
992,64-53,64,53
993,64-54,64,54
994,64-55,64,55
995,64-56,64,56
996,64-57,64,57
997,64-58,64,58
998,64-59,64,59
999,64-60,64,60
1000,64-61,64,61
1001,64-62,64,62
1002,64-63,64,63
1003,64-64,64,64
1004,65-0,65,0
1005,65-2,65,2
1006,65-3,65,3
1007,65-4,65,4
1008,65-5,65,5
1009,65-6,65,6
1010,65-7,65,7
1011,65-8,65,8
1012,65-9,65,9
1013,65-10,65,10
1014,65-11,65,11
1015,65-12,65,12
1016,65-13,65,13
1017,65-14,65,14
1018,65-15,65,15
1019,65-16,65,16
1020,65-17,65,17
1021,65-18,65,18
1022,65-19,65,19
1023,65-21,65,21
1024,65-22,65,22
1025,65-23,65,23
1026,65-25,65,25
1027,65-26,65,26
1028,65-27,65,27
1029,65-28,65,28
1030,65-29,65,29
1031,65-30,65,30
1032,65-31,65,31
1033,65-32,65,32
1034,65-33,65,33
1035,65-34,65,34
1036,65-35,65,35
1037,65-36,65,36
1038,65-37,65,37
1039,65-38,65,38
1040,65-39,65,39
1041,65-40,65,40
1042,65-41,65,41
1043,65-42,65,42
1044,65-43,65,43
1045,65-44,65,44
1046,65-45,65,45
1047,65-46,65,46
1048,65-47,65,47
1049,65-48,65,48
1050,65-49,65,49
1051,65-50,65,50
1052,65-51,65,51
1053,65-52,65,52
1054,65-53,65,53
1055,65-54,65,54
1056,65-55,65,55
1057,65-56,65,56
1058,65-57,65,57
1059,65-58,65,58
1060,65-59,65,59
1061,65-60,65,60
1062,65-61,65,61
1063,65-62,65,62
1064,65-63,65,63
1065,65-64,65,64
1066,65-65,65,65
1067,66-2,66,2
1068,66-3,66,3
1069,66-4,66,4
1070,66-5,66,5
1071,66-6,66,6
1072,66-7,66,7
1073,66-8,66,8
1074,66-9,66,9
1075,66-10,66,10
1076,66-11,66,11
1077,66-12,66,12
1078,66-13,66,13
1079,66-15,66,15
1080,66-16,66,16
1081,66-17,66,17
1082,66-18,66,18
1083,66-19,66,19
1084,66-20,66,20
1085,66-21,66,21
1086,66-22,66,22
1087,66-23,66,23
1088,66-24,66,24
1089,66-25,66,25
1090,66-26,66,26
1091,66-27,66,27
1092,66-28,66,28
1093,66-29,66,29
1094,66-30,66,30
1095,66-31,66,31
1096,66-32,66,32
1097,66-33,66,33
1098,66-34,66,34
1099,66-35,66,35
1100,66-36,66,36
1101,66-37,66,37
1102,66-38,66,38
1103,66-39,66,39
1104,66-40,66,40
